id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
1,dia sedang naik daun setelah vidio viralnya,1.0,naik daun,senang,sedang populer atau sukses,senang,percaya,senang
2,jangan besar kepala kalau sudah sukses nanti,1.0,besar kepala,marah,sombong,marah,marah,marah
3,aku makan hati sama perlakuannya,1.0,makan hati,sedih,sangat tersinggung atau sedih,sedih,sedih,sedih
4,presiden menyampaikan pidato kenegaraan di gedung MPR,0.0,,,,non_idiom,non_idiom,non_idiom
5,kamu jangan main api dengan masalah itu,1.0,main api,takut,bermain-main dengan bahaya,takut,takut,takut
6,"setelah lama vakum, dia kembali ke dunia hiburan dan langsung mencuri perhatian",1.0,mencuri perhatian,senang,menjadi pusat perhatian,senang,senang,senang
7,"cuaca hariini cerah sekali, cocok untuk piknik",0.0,,,,non_idiom,non_idiom,non_idiom
8,"dia orangnya ringan tangan, suka menolong siapa saja",1.0,ringan tangan,percaya,suka menolong,percaya,percaya,percaya
9,"mendengarkan berita itu, si bapak jatuh hati padanya",1.0,jatuh hati,senang,jatuh cinta,senang,senang,senang
10,"awas, jangan sampai anda kena batunya nanti",1.0,kena batunya,takut,mendapat akibat buruk dari perbuatan sendiri,takut,takut,takut
11,dia sekarang sedang naik daun setelah merilis lagu baru,1.0,naik daun,senang,sedang populer atau sukses,senang,senang,senang
12,jangan besar kepala meskipun kamu juara kelas.,1.0,besar kepala,marah,sombong,marah,marah,marah
13,aku makan hati mendengar hinaannya.,1.0,makan hati,sedih,sangat tersinggung atau sedih,sedih,marah,sedih
14,kamu jangan main api dengan menyimpan rahasia itu.,1.0,main api,takut,bermain-main dengan bahaya,takut,takut,takut
15,penampilannya di panggung berhasil mencuri perhatian.,1.0,mencuri perhatian,senang,menjadi pusat perhatian,senang,senang,senang
16,dia terkenal ringan tangan membantu tetangganya.,1.0,ringan tangan,percaya,suka menolong,percaya,percaya,senang
17,"setelah beberapa kali bertemu, dia jatuh hati padaku.",1.0,jatuh hati,senang,jatuh cinta,senang,senang,senang
18,"jika terus berbohong, kamu akan kena batunya.",1.0,kena batunya,takut,mendapat akibat buruk dari perbuatan sendiri,takut,marah,takut
19,hari ini cuaca sangat cerah,0.0,,,,non_idiom,non_idiom,non_idiom
20,ibu memasak di dapur,0.0,,,,non_idiom,non_idiom,non_idiom
21,ayah pergi ke kantor,0.0,,,,non_idiom,non_idiom,non_idiom
22,anak-anak bermain di taman,0.0,,,,non_idiom,non_idiom,non_idiom
23,buku itu sangat menarik,0.0,,,,non_idiom,non_idiom,non_idiom
24,kami akan liburan ke Bali,0.0,,,,non_idiom,non_idiom,non_idiom
25,dia membeli mobil baru,0.0,,,,non_idiom,non_idiom,non_idiom
26,sekolah dimulai pukul tujuh,0.0,,,,non_idiom,non_idiom,non_idiom
27,mereka sedang rapat kerja,0.0,,,,non_idiom,non_idiom,non_idiom
28,kucing itu sangat lucu,0.0,,,,non_idiom,non_idiom,non_idiom
29,"Setelah bekerja keras, ia pergi ke pantai untuk cuci mata.",1.0,cuci mata,senang,menikmati pemandangan indah,senang,senang,senang
30,"Anak muda itu penuh semangat, masih darah muda",1.0,darah muda,percaya,bersemangat karena masih muda,percaya,percaya,percaya
31,"Istrinya sedang duduk perut, jadi dia sangat hati-hati.",1.0,duduk perut,senang,hamil,senang,senang,senang
32,"Dia memang kutu buku, setiap waktu luang dihabiskan untuk membaca.",1.0,kutu buku,percaya,orang yang gemar membaca,percaya,percaya,percaya
33,"Meski dihina, dia tetap lapang dada menerima kritik.",1.0,lapang dada,percaya,sabar dan ikhlas,percaya,percaya,percaya
34,"Anak itu ringan kepala, cepat memahami pelajaran.",1.0,ringan kepala,percaya,mudah mengerti,percaya,percaya,percaya
35,"Dokter itu terkenal tangan dingin, banyak pasien sembuh.",1.0,tangan dingin,percaya,seseorang yang selalu berhasil atau sukses dalam usaha yang dilakukannya,percaya,percaya,percaya
36,Ayah adalah tulang punggung keluarga.,1.0,tulang punggung,percaya,sumber penghasilan utama,percaya,percaya,percaya
37,"Dalam menghadapi masalah, kita harus kepala dingin.",1.0,kepala dingin,percaya,tenang dan tidak emosi,percaya,percaya,percaya
38,"Ia panjang akal, selalu punya solusi kreatif.",1.0,panjang akal,percaya,banyak ide,percaya,percaya,percaya
39,"Meski kaya, ia tetap rendah hati.",1.0,rendah hati,percaya,tidak sombong atau tidak angkuh,percaya,percaya,percaya
40,Sekretaris itu tangan kanan direktur,1.0,tangan kanan,percaya,asisten kepercayaan,percaya,senang,percaya
41,Saya terkejut setengah mati ketika melihat ular di depan pintu rumah.,1.0,terkejut setengah mati,terkejut,sangat terkejut,terkejut,terkejut,terkejut
42,"Ia dijadikan kambing hitam atas kesalahan tim, padahal dia tidak bersalah.",1.0,kambing hitam,terkejut,orang yang disalahkan,terkejut,terkejut,terkejut
43,Tiba-tiba namanya menjadi buah bibir setelah videonya viral.,1.0,buah bibir,terkejut,menjadi bahan pembicaraan,terkejut,terkejut,terkejut
44,"Setelah mendengar penjelasannya, terbuka mata saya bahwa selama ini saya salah.",1.0,terbuka mata,terkejut,menyadari kebenaran,terkejut,terkejut,terkejut
45,"Melihat penampakan hantu, berdiri bulu romanya",1.0,berdiri bulu roma,takut,merasa sangat takut,takut,takut,takut
46,"Saat menghadapi ujian, lututnya gemetar karena gugup.",1.0,lutut gemetar,takut,takut atau gugup,takut,takut,takut
47,Pencuri itu mati kutu ketika polisi datang.,1.0,mati kutu,takut,takut sampai tidak bisa bergerak,takut,takut,takut
48,"Mendengar kabar duka itu, darahnya terasa membeku.",1.0,darah membeku,takut,kaget dan takut,takut,takut,takut
49,Jantungnya berdebar kencang saat menunggu hasil tes.,1.0,jantung berdebar,takut,cemas,takut,takut,takut
50,Warga waspada karena ada pencuri panjang tangan di lingkungan,1.0,panjang tangan,takut,suka mencuri,takut,takut,takut
51,Ia takut memegang uang panas itu karena asalnya tidak jelas,1.0,uang panas,takut,uang hasil korupsi,takut,takut,takut
52,ditinggal kekasih sampai patah hati,1.0,patah hati,sedih,kecewa karena cinta,sedih,sedih,sedih
53,"Mendengar hinaan itu, dia sakit hati.",1.0,sakit hati,sedih,tersinggung,sedih,sedih,marah
54,Kehilangan orang tua sehingga hancur hatinya,1.0,hancur hati,sedih,sangat sedih,sedih,sedih,sedih
55,Dengan berat hati ia meninggalkan kampung halaman.,1.0,berat hati,sedih,enggan tapi terpaksa,sedih,sedih,sedih
56,"apa pun usahanya, ia tetap gagal sehingga putus asa",1.0,putus asa,sedih,kehilangan harapan,sedih,sedih,sedih
57,"Sejak ditinggal istri, ia hidup sebatang kara",1.0,sebatang kara,sedih,hidup sendirian,sedih,sedih,sedih
58,Toko itu gulung tikar karena sepi pembeli.,1.0,gulung tikar,sedih,bangkrut,sedih,sedih,sedih
59,Penyakitnya membuatnya hidup segan mati tak mau.,1.0,hidup segan mati tak mau,sedih,menderita,sedih,sedih,sedih
60,Persahabatan mereka patah arang setelah pertengkaran.,1.0,patah arang,sedih,putus hubungan,sedih,sedih,sedih
61,ia buang muka ketika budi meminta tolong,1.0,buang muka,marah,berpaling tidak mau tahu,marah,marah,marah
62,"Dia keras kepala, hati batu, tidak mau mendengar nasihat.",1.0,keras kepala; hati batu,marah,tidak mau menuruti nasihat orang; tega atau tidak berperasaan,marah,marah,marah
63,"Setelah rapat selesai, ia angkat kaki",1.0,angkat kaki,netral,pergi,netral,netral,netral
64,"Setelah liburan, ia merasa hati berbunga-bunga",1.0,hati berbunga-bunga,senang,perasaan senang,senang,senang,senang
65,"Mendengar ejekan itu, ia naik pitam.",1.0,naik pitam,marah,marah sekali,marah,sedih,marah
66,"dia tebal muka, tidak malu meskipun dipermalukan",1.0,tebal muka,marah,tidak tahu malu,marah,marah,marah
67,Sikapnya yang tinggi hati membuatnya dijauhi teman.,1.0,tinggi hati,marah,sombong,marah,marah,marah
68,Ia cari muka dengan pura-pura membantu bos.,1.0,cari muka,marah,cari perhatian dan pujian,marah,marah,marah
69,"Setelah masalah itu, ia cuci tangan dari hal tersebut",1.0,cuci tangan,netral,tidak mau terlibat,netral,netral,netral
70,"Pejabat itu gila hormat, selalu ingin dipuji.",1.0,gila hormat,marah,suka dihormati berlebihan,marah,marah,marah
71,Ia lepas tangan saat proyek mengalami kendala.,1.0,lepas tangan,marah,lepas tanggung jawab,marah,marah,netral
72,Mereka ketahuan main mata di belakang pasangan masing-masing,1.0,main mata,marah,bersama-sama di belakang secara diam-diam,marah,marah,marah
73,Dia dituduh main serong dengan istri orang lain,1.0,main serong,marah,berselingkuh,marah,marah,marah
74,"Pegawai itu makan gaji buta, kerjanya tidak pernah jelas",1.0,gaji buta,marah,mendapat hasil tanpa kerja jelas,marah,marah,marah
75,"Dia muka tebal, tidak peduli omongan orang.",1.0,muka tebal,marah,tidak tahu malu,marah,marah,marah
76,Semalam ia mendapat bunga tidur yang indah,1.0,bunga tidur,senang,mimpi indah,senang,senang,senang
77,Ia sakit mata melihat keberhasilan saingannya,1.0,sakit mata,marah,iri atau kurang senang,marah,marah,marah
78,dia tebal telinga sehingga nasihat orang tua sendiri tidak ia dengar.,1.0,tebal telinga,marah,tidak mau mendengar,marah,marah,marah
79,"Gaya hidupnya tinggi kursi, membuat orang lain risih.",1.0,tinggi kursi,marah,sombong,marah,marah,marah
80,Kedua belah pihak sepakat mencari jalan tengah,1.0,jalan tengah,netral,solusi yang adil dan seimbang,netral,netral,netral
81,"Ia hanya kaki tangan bos, tidak punya kuasa.",1.0,kaki tangan,netral,anak buah,netral,netral,netral
82,"Sejak kejadian itu, ia diam seribu bahasa",1.0,diam seribu bahasa,netral,tidak berbicara,netral,netral,netral
83,Pemerintah akhirnya turun tangan mengatasi banjir,1.0,turun tangan,netral,ikut campur,netral,netral,netral
84,Dia membawakan buah tangan dari liburannya.,1.0,buah tangan,senang,membawa oleh-oleh,senang,senang,senang
85,"Usahanya gagal, ia pulang dengan tangan hampa.",1.0,tangan hampa,sedih,tidak mendapat apa-apa,sedih,sedih,sedih
86,"Setelah diperingatkan, dia akhirnya angkat tangan pasrah",1.0,angkat tangan,sedih,menyerah,sedih,sedih,sedih
87,Ia menerima kabar baik itu dengan senang hati.,1.0,senang hati,senang,sangat gembira,senang,senang,senang
