id,sentence,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
1,he is on the rise after his viral video,1,rising star,happy,currently popular or successful,happy,trust,happy
2,Don't get cocky when you're successful later.,1,big head,angry,proud,angry,angry,angry
3,I'm heartbroken by his treatment,1,disappointed,sad,very offended or sad,sad,sad,sad
4,the president delivered a state address at the MPR building,0,,,,non_idiom,non_idiom,non_idiom
5,you don't play with fire with that problem,1,playing with fire,scared,playing with danger,scared,scared,scared
6,"After a long hiatus, he returned to the entertainment world and immediately stole the attention",1,steal the show,happy,be the center of attention,happy,happy,happy
7,"The weather today is very sunny, perfect for a picnic",0,,,,non_idiom,non_idiom,non_idiom
8,"He is a generous person, he happys to help anyone",1,helpful,trust,helpful,trust,trust,trust
9,"Hearing the news, the father fell in love with her.",1,fall in love,happy,fall in love,happy,happy,happy
10,"watch out, don't let the rock hit you later",1,hit the rocks,scared,suffer bad consequences from their own actions,scared,scared,scared
11,He is currently on the rise after releasing a new song.,1,rising star,happy,currently popular or successful,happy,happy,happy
12,Don't get cocky even if you are the class champion.,1,big head,angry,proud,angry,angry,angry
13,I ate my heart hearing his insults.,1,disappointed,sad,very offended or sad,sad,angry,sad
14,Don't play with fire by keeping that secret.,1,playing with fire,scared,playing with danger,scared,scared,scared
15,his appearance on stage managed to steal attention.,1,steal the show,happy,be the center of attention,happy,happy,happy
16,He is known for being generous in helping his neighbors.,1,helpful,trust,helpful,trust,trust,happy
17,"After meeting a few times, he fell in love with me.",1,fall in love,happy,fall in love,happy,happy,happy
18,"If you keep lying, you will get hit by the rock.",1,hit the rocks,scared,suffer bad consequences from their own actions,scared,angry,scared
19,today the weather is very sunny,0,,,,non_idiom,non_idiom,non_idiom
20,mother cooks in the kitchen,0,,,,non_idiom,non_idiom,non_idiom
21,Father goes to the office,0,,,,non_idiom,non_idiom,non_idiom
22,children playing in the park,0,,,,non_idiom,non_idiom,non_idiom
23,the book is very interesting,0,,,,non_idiom,non_idiom,non_idiom
24,we will go on holiday to Bali,0,,,,non_idiom,non_idiom,non_idiom
25,he bought a new car,0,,,,non_idiom,non_idiom,non_idiom
26,school starts at seven,0,,,,non_idiom,non_idiom,non_idiom
27,they are having a work meeting,0,,,,non_idiom,non_idiom,non_idiom
28,the cat is very cute,0,,,,non_idiom,non_idiom,non_idiom
29,"After working hard, he went to the beach to wash his eyes.",1,eye wash,happy,enjoy the beautiful view,happy,happy,happy
30,"The young man was full of enthusiasm, still young blood",1,young blood,trust,excited because he is still young,trust,trust,trust
31,"His wife was sitting on her stomach, so he was very careful.",1,sit on your stomach,happy,pregnant,happy,happy,happy
32,"He is a bookworm, he spends every free time reading.",1,Bookworm,trust,people who happy to read,trust,trust,trust
33,"Even though he was insulted, he remained open-minded in accepting criticism.",1,relieved,trust,patience and sincere,trust,trust,trust
